SYMBL,NAME,INDUSTRY,MIN_MOUNT,UNIT,FRATE
2871,ニチレイ,食料品,"246,400",100,2.23
2875,東洋水産,食料品,"445,000",100,0.33
2882,イートアンド,食料品,"169,500",100,0.14
2883,大冷,食料品,"204,000",100,0.17
2884,ヨシムラ・フード・ホールディングス,食料品,"92,800",100,1.8
2897,日清食品ホールディングス,食料品,"791,000",100,0.23
2899,永谷園ホールディングス,食料品,"209,900",100,1.57
2904,一正蒲鉾,食料品,"108,500",100,0.24
2907,あじかん,食料品,"72,800",100,17
2908,フジッコ,食料品,"195,900",100,4.48
2910,ロック・フィールド,食料品,"146,100",100,1.17
2914,日本たばこ産業,食料品,"236,350",100,5.81
2915,ケンコーマヨネーズ,食料品,"247,000",100,1.37
2918,わらべや日洋ホールディングス,食料品,"194,500",100,0.16
2922,なとり,食料品,"164,900",100,0.45
2924,イフジ産業,食料品,"76,200",100,0.12
2925,ピックルスコーポレーション,食料品,"281,900",100,47.43
2926,篠崎屋,食料品,"11,300",100,6.54
2930,北の達人コーポレーション,食料品,"70,700",100,8.04
2931,ユーグレナ,食料品,"93,200",100,0.75
2971,エスコンジャパンリート投資法人　投資証券,ETF・REIT・その他,"122,000",1,10.05
2975,スター・マイカ・ホールディングス,不動産業,"189,800",100,0.29
2978,ツクルバ,不動産業,"144,100",100,523.11
3001,片倉工業,繊維製品,"131,900",100,28.08
3002,グンゼ,繊維製品,"448,000",100,0.18
3003,ヒューリック,不動産業,"110,500",100,0.49
3004,神栄,卸売業,"75,300",100,2.9
3023,ラサ商事,卸売業,"84,500",100,6.97
3028,アルペン,小売業,"172,400",100,0.47
3030,ハブ,小売業,"124,500",100,126.87
3031,ラクーンホールディングス,卸売業,"67,900",100,6.31
3034,クオールホールディングス,小売業,"146,300",100,3.62
3036,アルコニックス,卸売業,"126,900",100,5.75
3038,神戸物産,卸売業,"508,000",100,3.1
3041,ビューティ花壇,卸売業,"29,600",100,23.5
3046,ジンズホールディングス,小売業,"638,000",100,3.88
3048,ビックカメラ,小売業,"114,300",100,1.37
3050,ＤＣＭホールディングス,小売業,"105,900",100,0.17
3053,ペッパーフードサービス,小売業,"163,300",100,7.82
3058,三洋堂ホールディングス,小売業,"93,900",100,0.34
3059,ヒラキ,小売業,"91,000",100,5.67
3063,ジェイグループホールディングス,小売業,"71,300",100,1.66
3064,ＭｏｎｏｔａＲＯ,小売業,"282,200",100,0.63
3067,東京一番フーズ,小売業,"60,100",100,0.48
3069,ＪＦＬＡホールディングス,小売業,"40,000",100,0.94
3073,ＤＤホールディングス,小売業,"153,000",100,94.2
3075,銚子丸,小売業,"125,700",100,2.57
3076,あい　ホールディングス,卸売業,"183,600",100,0.52
3079,ディーブイエックス,卸売業,"87,100",100,1.14
3082,きちりホールディングス,小売業,"77,200",100,0.53
3085,アークランドサービスホールディングス,小売業,"194,800",100,5.74
3086,Ｊ．フロント　リテイリング,小売業,"128,000",100,0.58
3087,ドトール・日レスホールディングス,小売業,"213,300",100,0.62
3088,マツモトキヨシホールディングス,小売業,"399,000",100,0.27
3089,テクノアルファ,卸売業,"113,200",100,42
3091,ブロンコビリー,小売業,"234,400",100,0.57
3092,ＺＯＺＯ,小売業,"249,500",100,1.44
3093,トレジャー・ファクトリー,小売業,"138,000",100,0.85
3097,物語コーポレーション,小売業,"1,005,000",100,1.84
3098,ココカラファイン,小売業,"588,000",100,0.45
3099,三越伊勢丹ホールディングス,小売業,"86,600",100,1.85
3101,東洋紡,繊維製品,"141,600",100,2.12
3103,ユニチカ,繊維製品,"32,400",100,1.78
3104,富士紡ホールディングス,繊維製品,"297,000",100,0.69
3105,日清紡ホールディングス,電気機器,"85,500",100,4.22
3106,倉敷紡績,繊維製品,"224,500",100,2.43
3107,ダイワボウホールディングス,卸売業,"464,500",100,3.59
3109,シキボウ,繊維製品,"92,400",100,36.41
3110,日東紡績,ガラス・土石製品,"329,000",100,0.31
3116,トヨタ紡織,輸送用機器,"151,200",100,1.31
3121,マーチャント・バンカーズ,サービス業,"31,200",100,22.76
3132,マクニカ・富士エレホールディングス,卸売業,"140,800",100,2.72
3134,Ｈａｍｅｅ,小売業,"109,600",100,1.82
3137,ファンデリー,小売業,"152,300",100,4.28
3139,ラクト・ジャパン,卸売業,"388,500",100,3.75
3140,イデアインターナショナル,卸売業,"80,800",100,1.87
3141,ウエルシアホールディングス,小売業,"556,000",100,0.35
3148,クリエイトＳＤホールディングス,小売業,"251,600",100,1.96
3151,バイタルケーエスケー・ホールディングス,卸売業,"105,500",100,0.47
3154,メディアスホールディングス,卸売業,"72,300",100,0.18
3156,レスターホールディングス,卸売業,"179,900",100,2.72
3157,ジューテックホールディングス,卸売業,"98,900",100,9.13
3159,丸善ＣＨＩホールディングス,小売業,"37,900",100,0.73
3160,大光,卸売業,"67,700",100,0.55
3166,ＯＣＨＩホールディングス,卸売業,"129,100",100,0.62
3168,黒谷,卸売業,"43,300",100,0.34
3169,ミサワ,小売業,"51,600",100,188.42
3172,ティーライフ,小売業,"83,900",100,2.22
3173,Ｃｏｍｉｎｉｘ,卸売業,"83,900",100,148
3175,エー・ピーカンパニー,小売業,"54,700",100,61.76
3176,三洋貿易,卸売業,"215,100",100,10.98
3179,シュッピン,小売業,"106,800",100,1.15
3180,ビューティガレージ,卸売業,"188,400",100,0.87
3182,オイシックス・ラ・大地,小売業,"140,100",100,22.8
3183,ウイン・パートナーズ,卸売業,"117,700",100,0.89
3185,夢展望,小売業,"47,500",100,2.36
3186,ネクステージ,小売業,"113,800",100,1.03
3187,サンワカンパニー,小売業,"28,300",100,21.94
3189,ＡＮＡＰ,小売業,"65,300",100,8.28
3191,ジョイフル本田,小売業,"140,500",100,0.41
3193,鳥貴族,小売業,"246,400",100,0.24
3194,キリン堂ホールディングス,小売業,"215,400",100,365.82
3196,ホットランド,小売業,"115,700",100,2.14
3197,すかいらーくホールディングス,小売業,"198,700",100,0.48
3198,ＳＦＰホールディングス,小売業,"218,900",100,11.88
3199,綿半ホールディングス,小売業,"207,000",100,0.43
3201,日本毛織,繊維製品,"100,300",100,0.49
3202,ダイトウボウ,繊維製品,"8,100",100,161.85
3204,トーア紡コーポレーション,繊維製品,"53,100",100,4.46
3205,ダイドーリミテッド,繊維製品,"27,700",100,1.36
3221,ヨシックス,小売業,"312,500",100,0.44
3222,ユナイテッド・スーパーマーケット・ホールディングス,小売業,"99,000",100,0.11
3226,日本アコモデーションファンド投資法人　投資証券,ETF・REIT・その他,"682,000",1,0.52
3227,ＭＣＵＢＳ　ＭｉｄＣｉｔｙ投資法人　投資証券,ETF・REIT・その他,"118,600",1,0.98
3228,三栄建築設計,不動産業,"150,200",100,3.64
3231,野村不動産ホールディングス,不動産業,"231,300",100,0.79
3234,森ヒルズリート投資法人　投資証券,ETF・REIT・その他,"171,900",1,0.33
3236,プロパスト,不動産業,"15,000",100,366.98
3242,アーバネットコーポレーション,不動産業,"40,500",100,43.11
3244,サムティ,不動産業,"191,400",100,0.61
3245,ディア・ライフ,不動産業,"48,500",100,1.81
3246,コーセーアールイー,不動産業,"69,500",100,750
3249,産業ファンド投資法人　投資証券,ETF・REIT・その他,"155,700",1,0.9
3250,エー・ディー・ワークス,不動産業,"3,100",100,3.92
3252,日本商業開発,不動産業,"149,900",100,0.26
3254,プレサンスコーポレーション,不動産業,"174,200",100,2.71
3258,ユニゾホールディングス,不動産業,"451,000",100,13.78
3267,フィル・カンパニー,建設業,"406,000",100,78
3269,アドバンス・レジデンス投資法人　投資証券,ETF・REIT・その他,"360,500",1,0.38
3271,ＴＨＥグローバル社,不動産業,"44,800",100,3.84
3276,日本管理センター,不動産業,"147,300",100,0.9
3277,サンセイランディック,不動産業,"83,200",100,48.53
3278,ケネディクス・レジデンシャル・ネクスト投資法人　投資証券,ETF・REIT・その他,"210,900",1,1.5
3279,アクティビア・プロパティーズ投資法人　投資証券,ETF・REIT・その他,"548,000",1,1.33
3280,エストラスト,不動産業,"91,500",100,3.75
3281,ＧＬＰ投資法人　投資証券,ETF・REIT・その他,"141,400",1,1
3282,コンフォリア・レジデンシャル投資法人　投資証券,ETF・REIT・その他,"345,000",1,0.18
3284,フージャースホールディングス,不動産業,"64,200",100,2.28
3287,星野リゾート・リート投資法人　投資証券,ETF・REIT・その他,"600,000",1,9.06
3288,オープンハウス,不動産業,"269,400",100,0.26
3289,東急不動産ホールディングス,不動産業,"68,900",100,2.42
