,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,OPEN_A,CLOSE_A,OPEN_B,CLOSE_B,SIGMA,ABS_SIGMA,DEV_RATE,AXIS_LOT_SIZE,PAIR_LOT_SIZE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times
61,4208,宇部興産,化学,5803,フジクラ,非鉄金属,0.9594957374237071,0.9350979662308772,0.0025696129661501228,0.13168475660179094,2120.0,2146.0,410.0,410.0,-1.4884671829097158,1.4884671829097158,-7.84,400,2100,0.3,-75245.0,-4703.0,-0.36,16,9,7,56.25
471,6750,エレコム,電気機器,6920,レーザーテック,電気機器,0.9063878883665868,0.9212055995229174,0.00031509464246279187,0.12551328581897747,4150.0,4160.0,7000.0,6900.0,-1.4852086223821226,1.4852086223821226,-23.23,200,100,20.58,84605.0,5640.0,0.47,15,9,6,60.0
109,7186,コンコルディア・フィナンシャルグループ,銀行業,8273,イズミ,小売業,0.9519523099788532,0.9378536398640164,0.0011804750132645425,0.027205198264147232,407.0,410.0,4265.0,4180.0,1.4812202465749356,1.4812202465749356,4.39,2000,200,1.91,442862.0,26051.0,1.69,17,13,4,76.47
454,7167,めぶきフィナンシャルグループ,銀行業,8750,第一生命ホールディングス,保険業,0.9081991787210216,0.9488730911457997,0.9623532058366748,0.192606226908746,261.0,261.0,1635.0,1624.0,-1.4738042797095936,1.4738042797095936,-4.45,3700,600,0.89,106577.0,6269.0,0.36,17,11,6,64.71
360,9531,東京瓦斯,電気・ガス業,9532,大阪瓦斯,電気・ガス業,0.9183509202010208,0.9341171803917098,0.05009988161765786,0.30506038788405315,2762.0,2786.0,2067.0,2081.0,-1.4532515336323817,1.4532515336323817,-2.61,300,400,0.41,-135404.0,-11284.0,-0.68,12,3,9,25.0
177,4182,三菱瓦斯化学,化学,6301,小松製作所,機械,0.9414351865108218,0.9009544093737216,0.14876502705607586,0.02686724744280931,1397.0,1408.0,2379.5,2386.0,1.4515646497553951,1.4515646497553951,4.34,700,400,3.27,51961.0,3997.0,0.32,13,8,5,61.54
385,7251,ケーヒン,輸送用機器,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,0.915575194128406,0.9019819235505684,0.4988924850411013,0.6457451783184862,1610.0,1629.0,538.2,537.7,1.4508621881922863,1.4508621881922863,5.26,600,1800,0.98,-109767.0,-6098.0,-0.33,18,7,11,38.89
22,4182,三菱瓦斯化学,化学,5803,フジクラ,非鉄金属,0.9692650027777344,0.9233339046739979,0.2014411538296492,0.882248661824605,1397.0,1408.0,410.0,410.0,-1.4503327062151339,1.4503327062151339,-4.57,700,2400,0.16,-458.0,-31.0,0.03,15,9,6,60.0
159,5393,ニチアス,ガラス・土石製品,6472,ＮＴＮ,機械,0.9438846409156808,0.9147165559783721,0.08979374832625081,0.10640469942537784,1800.0,1835.0,313.0,310.0,-1.4297334217562625,1.4297334217562625,-3.59,500,3000,1.36,149532.0,8796.0,0.47,17,9,8,52.94
319,5214,日本電気硝子,ガラス・土石製品,5401,日本製鉄,鉄鋼,0.9234406184094904,0.9358894539411952,0.09803333674713632,0.05870193100004771,2351.0,2355.0,1477.5,1479.5,1.4285503249063418,1.4285503249063418,4.51,400,600,5.76,-90836.0,-8258.0,-0.46,11,6,5,54.55
391,4182,三菱瓦斯化学,化学,8002,丸紅,卸売業,0.915115560879005,0.9640743609757292,0.27116476611683216,0.13615367738882428,1397.0,1408.0,694.9,694.1,1.4172475024944224,1.4172475024944224,4.71,700,1400,1.41,24624.0,1231.0,0.03,20,12,8,60.0
305,2914,日本たばこ産業,食料品,4581,大正製薬ホールディングス,医薬品,0.9256117456322009,0.9531331028296745,0.01990909723805341,0.0854774591930747,2356.0,2365.5,7570.0,7700.0,1.3958174307028839,1.3958174307028839,3.17,300,100,7.84,-196563.0,-28080.0,-1.42,7,2,5,28.57
357,4182,三菱瓦斯化学,化学,7259,アイシン精機,輸送用機器,0.9186725494662344,0.9310162110705668,0.19340309287332053,0.29514334757101546,1397.0,1408.0,3385.0,3390.0,1.392722668295174,1.392722668295174,3.84,500,200,3.83,304989.0,21785.0,1.3,14,10,4,71.43
499,4676,フジ・メディア・ホールディングス,情報・通信業,6752,パナソニック,電気機器,0.901640530167249,0.9284313834350556,0.008927862547997064,0.17232675994048535,1365.0,1385.0,880.4,883.6,-1.3725705831977095,1.3725705831977095,-4.03,700,1100,0.25,-6631.0,-368.0,-0.02,18,11,7,61.11
93,3405,クラレ,化学,4631,ＤＩＣ,化学,0.9552407344499154,0.9022149886647244,0.02029899236350716,0.32189921632044416,1287.0,1298.0,2962.0,2965.0,-1.371279464480753,1.371279464480753,-2.22,700,300,2.15,-47995.0,-3200.0,-0.19,15,7,8,46.67
