YEAR,MONTH,open_date,close_date,sellCode,sellCodeName,sellOpenPrice,sellMount,sellClosePrice,sellTradeFee,sellInterestFee,sellOtherFee,buyCode,buyCodeName,buyOpenPrice,buyMount,buyClosePrice,buyTradeFee,buyInterestFee,buyOtherFee,totalReturn,totalReturnRate,open_days,result
2020,6,2020-05-12,2020-06-02,7278,エクセディ,1697,600,1722,770,644.3950684931507,0,8002,丸紅,493.9,2000,523.1,770,1591.3052054794523,0,39624.299726027486,0.019752891189445405,21,OVER MAX DAY
2020,6,2020-05-12,2020-06-02,1941,中電工,2211,400,2306,770,559.7161643835617,0,7984,コクヨ,1341,700,1400,770,1512.2071232876713,0,-311.923287671234,-0.0001710949962543108,21,OVER MAX DAY
2020,6,2020-05-29,2020-06-09,5333,日本碍子,1563,600,1712,770,310.8871232876712,0,1719,安藤・間,708,1300,702,770,776.666301369863,0,-99827.55342465753,-0.05372271737415646,11,STOP LOSS
2020,6,2020-05-19,2020-06-09,2281,プリマハム,2400,400,2660,770,607.5616438356165,0,2602,日清オイリオグループ,3320,300,3435,770,1604.5150684931507,0,-73252.07671232877,-0.03744993696949323,21,OVER MAX DAY
2020,6,2020-06-09,2020-06-11,2531,宝ホールディングス,975,1100,1037,770,64.64383561643835,0,5020,ＪＸＴＧホールディングス,427.4,2500,411.9,770,163.93424657534246,0,-108718.57808219179,-0.050779345204199806,2,STOP LOSS
2020,6,2020-05-21,2020-06-11,3405,クラレ,1102,900,1232,770,627.6871232876713,0,9513,電源開発,1924,500,2094,770,1549.7424657534245,0,-35717.4295890411,-0.018281006033903726,21,OVER MAX DAY
2020,6,2020-05-26,2020-06-12,4471,三洋化成工業,4800,200,4680,770,491.8356164383561,0,6326,クボタ,1435.5,700,1569.5,770,1310.434520547945,0,114457.7298630137,0.05825265534927027,17,STOP PROFIT
2020,6,2020-06-03,2020-06-17,4205,日本ゼオン,1076,1000,1047,770,453.98356164383557,0,1662,石油資源開発,2079,500,1943,770,1116.3945205479451,0,-42110.378082191775,-0.019905638422213084,14,STOP LOSS
2020,6,2020-06-02,2020-06-17,3101,東洋紡,1511,400,1513,770,273.22191780821913,0,6856,堀場製作所,5910,100,5600,770,680.054794520548,0,-34293.27671232876,-0.02868770011069831,15,STOP LOSS
2020,6,2020-06-15,2020-06-18,2531,宝ホールディングス,946,1100,999,770,94.08164383561643,0,5020,ＪＸＴＧホールディングス,401,2600,391.3,770,239.9408219178082,0,-85394.0224657534,-0.040991754255834005,3,STOP LOSS
2020,6,2020-06-03,2020-06-24,4324,電通,3090,300,2750,770,586.6767123287672,0,6473,ジェイテクト,928,1000,866,770,1494.9698630136988,0,36378.35342465753,0.019610972196580877,21,OVER MAX DAY
2020,6,2020-06-04,2020-06-26,2501,サッポロホールディングス,2269,500,2023,770,752.1890410958904,0,1925,大和ハウス工業,2800,400,2546.5,770,1890.1917808219177,0,17417.619178082197,0.007725712653839963,22,OVER MAX DAY
2020,6,2020-06-09,2020-06-26,3407,旭化成,949.9,1100,874,770,535.327205479452,0,7762,シチズン時計,420,2500,359,770,1369.3150684931506,0,-72454.64227397264,-0.03458637077554079,17,STOP LOSS
2020,6,2020-06-05,2020-06-26,6925,ウシオ電機,1504,700,1324,770,666.2926027397259,0,6501,日立製作所,3710,300,3414,770,1792.9972602739726,0,33200.71013698631,0.015329536493206349,21,OVER MAX DAY
2020,6,2020-06-10,2020-06-26,4204,積水化学工業,1563,700,1515,770,527.5660273972602,0,4917,マンダム,2150,500,2000,770,1319.4520547945206,0,-44787.018082191775,-0.020647742419525043,16,STOP LOSS
