,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,OPEN_A,CLOSE_A,AXIS_LOT_SIZE,TRADE_A,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,OPEN_B,CLOSE_B,PAIR_LOT_SIZE,TRADE_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,SIGMA,ABS_SIGMA,LAST_DAY_SIGMA,DEV_RATE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times,open_days,stop_profit_times,stop_loss_times,max_day_over_times,DATE_3M_ago,CLOSE_A_3M_ago,CLOSE_B_3M_ago,DATE_6M_ago,CLOSE_A_6M_ago,CLOSE_B_6M_ago,DATE_1y_ago,CLOSE_A_1y_ago,CLOSE_B_1y_ago,DATE_2y_ago,CLOSE_A_2y_ago,CLOSE_B_2y_ago
962,1942,関電工,建設業,986.0,980.0,1100,BUY,3101,東洋紡,繊維製品,1511.0,1513.0,700,SELL,0.9251702710992309,0.9436916635983681,0.11235176881061015,0.0032881668314204047,-1.061285877409087,1.061285877409087,0.9955633382446756,-7.96,1.78,-11825.0,-845.0,0.05,14,8,6,57.14,20.0,1,2,11,2020/03/02,898.0,1338.0,2019/12/02,1052.0,1620.0,2019/06/02,867.0,1149.0,2018/06/02,1222.0,1821.0
2082,3291,飯田グループホールディングス,不動産業,1625.0,1645.0,600,BUY,6141,ＤＭＧ森精機,機械,1330.0,1359.0,700,SELL,0.6447297376282702,0.9131165827120912,0.015420419804133275,0.04405531874419212,-0.5814243443341952,0.5814243443341952,0.26499117931582394,-9.57,3.62,-11926.0,-745.0,0.04,16,8,8,50.0,17.0,5,3,8,2020/03/02,1500.0,1340.0,2019/12/02,1911.0,1729.0,2019/06/02,1709.0,1311.0,2018/06/02,2116.0,1854.0
1372,6471,日本精工,機械,805.0,817.0,1300,SELL,6592,マブチモーター,電気機器,3550.0,3590.0,300,BUY,0.7914683244776362,0.9334749637193724,0.33495406829397417,0.07070960270985406,0.7118540058128427,0.7118540058128427,0.21180621157212265,3.7,1.38,-12266.0,-876.0,-0.03,14,7,7,50.0,19.0,2,0,12,2020/03/02,806.0,3640.0,2019/12/02,1062.0,4300.0,2019/06/02,869.0,3485.0,2018/06/02,1277.0,5180.0
894,4091,大陽日酸,化学,1809.0,1875.0,500,BUY,9678,カナモト,サービス業,2347.0,2358.0,400,SELL,0.813394466691657,0.9451308674697548,0.07931005406806074,0.003361521578097979,-0.018584715893442516,0.018584715893442516,0.6293199487852484,-0.1,0.6,-12821.0,-916.0,0.13,14,5,9,35.71,18.0,3,1,10,2020/03/02,1967.0,2360.0,2019/12/02,2456.0,3140.0,2019/06/02,2009.0,2352.0,2018/06/02,1670.0,3760.0
497,1332,日本水産,水産・農林業,504.0,504.0,2100,BUY,5406,神戸製鋼所,鉄鋼,408.0,406.0,2600,SELL,0.7783193905695854,0.9556259620233353,0.013979435897666585,0.004290756246383552,-1.2867263266126834,1.2867263266126834,1.345479707787169,-6.54,0.26,-12974.0,-811.0,-0.05,16,7,9,43.75,19.0,4,3,9,2020/03/02,516.0,398.0,2019/12/02,647.0,564.0,2019/06/02,640.0,652.0,2018/06/02,538.0,1121.0
783,7846,パイロットコーポレーション,その他製品,3710.0,3720.0,200,BUY,8341,七十七銀行,銀行業,1526.0,1540.0,500,SELL,0.9164756976428451,0.9476972313993828,0.14902460389815392,0.050199795494606986,-1.468420636643594,1.468420636643594,1.518721474063768,-5.44,3.49,-13291.0,-1899.0,-0.3,7,4,3,57.14,21.0,0,0,7,2020/03/02,3520.0,1394.0,2019/12/02,4215.0,1768.0,2019/06/02,4005.0,1586.0,2018/06/02,5980.0,2500.0
1921,5706,三井金属鉱業,非鉄金属,2301.0,2337.0,400,SELL,8031,三井物産,卸売業,1659.5,1693.5,600,BUY,0.8582469712919296,0.9182120241025798,0.41023921488527676,0.023805705115161568,0.6032798386085266,0.6032798386085266,0.4996531124787209,4.89,8.7,-13304.0,-1109.0,0.11,12,6,6,50.0,16.0,3,3,6,2020/03/02,2452.0,1705.0,2019/12/02,2729.0,1939.5,2019/06/02,2269.0,1665.0,2018/06/02,4895.0,1980.0
278,2502,アサヒグループホールディングス,食料品,4180.0,4317.0,200,BUY,4324,電通,サービス業,2916.0,3000.0,300,SELL,0.8368390966525716,0.9630479558537206,0.22920119672635964,0.010884846107172576,-1.1699362730376013,1.1699362730376013,1.4229881566930809,-11.37,4.24,-13625.0,-1703.0,-0.21,8,3,5,37.5,18.0,1,2,5,2020/03/02,4076.0,2820.0,2019/12/02,5271.0,4005.0,2019/06/02,4813.0,3565.0,2018/06/02,5599.0,5210.0
469,6925,ウシオ電機,電気機器,1384.0,1518.0,700,SELL,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,441.5,443.0,2400,BUY,0.7442144923369118,0.9563135514796396,0.4135960024135291,0.005705002730280749,4.775129901075652,4.775129901075652,3.0807874274344584,22.64,0.06,-13721.0,-915.0,-0.02,15,7,8,46.67,21.0,0,0,15,2020/03/02,1338.0,520.1,2019/12/02,1644.0,581.0,2019/06/02,1322.0,497.0,2018/06/02,1423.0,682.5
2383,1803,清水建設,建設業,923.0,924.0,1100,BUY,8020,兼松,卸売業,1358.0,1396.0,700,SELL,0.7173586807706117,0.9029839073848263,0.3744298405762586,0.03246552315446603,-1.9804499943289235,1.9804499943289235,1.6525805119742312,-16.19,4.01,-13774.0,-1148.0,-0.04,12,4,8,33.33,18.0,2,1,9,2020/03/02,958.0,1152.0,2019/12/02,1056.0,1409.0,2019/06/02,904.0,1192.0,2018/06/02,1114.0,1775.0
