,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,CORR_3M,CORR_1Y,OPEN_A,CLOSE_A,OPEN_B,CLOSE_B,SIGMA,ABS_SIGMA,DEV_RATE,AXIS_LOT_SIZE,PAIR_LOT_SIZE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times
734,8242,エイチ・ツー・オー　リテイリング,小売業,8385,伊予銀行,銀行業,0.9018646535730788,0.9041629974698736,1228.0,1204.0,584.0,573.0,-1.834139283066809,1.834139283066809,-5.89,800,1700,1.13,194892.0,11464.0,0.62,17,9,8,52.94
166,7278,エクセディ,輸送用機器,8058,三菱商事,卸売業,0.9538161033166428,0.9089025382570604,2145.0,2119.0,2679.5,2673.0,1.8191115205352848,1.8191115205352848,3.79,400,300,5.7,268085.0,24371.0,1.35,11,8,3,72.73
653,4004,昭和電工,化学,4182,三菱瓦斯化学,化学,0.9092591034769126,0.9331482981252612,2882.0,2867.0,1440.0,1434.0,-1.8175852194551767,1.8175852194551767,-7.11,300,600,0.03,129972.0,7221.0,0.74,18,11,7,61.11
244,4005,住友化学,化学,6995,東海理化電機製作所,輸送用機器,0.9461175300041998,0.9164064705479988,496.0,493.0,1893.0,1860.0,-1.817543341500253,1.817543341500253,-4.76,1900,500,0.72,-80557.0,-5754.0,-0.32,14,8,6,57.14
510,5233,太平洋セメント,ガラス・土石製品,9956,バローホールディングス,小売業,0.9231884168753114,0.9473084166797048,3005.0,2969.0,1880.0,1858.0,1.8045806166740608,1.8045806166740608,8.39,300,500,4.3,-5559.0,-428.0,-0.08,13,8,5,61.54
274,3116,トヨタ紡織,輸送用機器,6770,アルプスアルパイン,電気機器,0.9439039097640386,0.9440469658514036,1500.0,1512.0,2047.0,2038.0,-1.8023468115086272,1.8023468115086272,-4.05,500,400,7.26,81171.0,5798.0,0.37,14,8,6,57.14
559,8309,三井住友トラスト・ホールディングス,銀行業,9810,日鉄物産,卸売業,0.9187077252746232,0.9154209613806876,3930.0,3932.0,4285.0,4260.0,1.7901812960050218,1.7901812960050218,4.7,200,200,7.7,-30226.0,-15113.0,-0.95,2,0,2,0.0
31,5201,ＡＧＣ,ガラス・土石製品,7012,川崎重工業,輸送用機器,0.9720618090996168,0.95654749519671,3405.0,3380.0,2420.0,2419.0,-1.7857121129147648,1.7857121129147648,-4.18,200,300,7.35,62984.0,6998.0,0.39,9,5,4,55.56
190,5803,フジクラ,非鉄金属,7182,ゆうちょ銀行,銀行業,0.950864445456886,0.9203439091138432,411.0,415.0,1062.0,1057.0,1.7659437131385054,1.7659437131385054,8.17,2300,900,0.34,-229047.0,-12055.0,-0.7,19,8,11,42.11
585,7181,かんぽ生命保険,保険業,7189,西日本フィナンシャルホールディングス,銀行業,0.9161282010733393,0.9374403439926502,1659.0,1649.0,752.0,758.0,-1.7396759977833145,1.7396759977833145,-9.64,600,1300,0.4,257565.0,10732.0,0.66,24,14,10,58.33
707,4634,東洋インキＳＣホールディングス,化学,5991,日本発條,金属製品,0.9050829164356312,0.9162579358199416,2517.0,2497.0,837.0,834.0,1.7381859084870457,1.7381859084870457,4.72,400,1200,0.2,-88553.0,-4661.0,-0.29,19,11,8,57.89
628,1911,住友林業,建設業,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,0.9130022531836174,0.9335036539573629,1471.0,1438.0,558.0,554.1,1.7217482799408168,1.7217482799408168,2.84,600,1600,2.75,276531.0,17283.0,0.96,16,10,6,62.5
708,6752,パナソニック,電気機器,7272,ヤマハ発動機,輸送用機器,0.9049974885036772,0.9396476679457092,894.0,890.9,1980.0,1972.0,-1.7144025061703938,1.7144025061703938,-4.41,1100,500,0.61,272459.0,20958.0,1.21,13,9,4,69.23
745,6471,日本精工,機械,7251,ケーヒン,輸送用機器,0.900974382392158,0.9121758089019644,922.0,921.0,1580.0,1587.0,-1.7056377593844883,1.7056377593844883,-4.86,1000,600,3.28,-295010.0,-13410.0,-0.76,22,9,13,40.91
399,1333,マルハニチロ,水産・農林業,8377,ほくほくフィナンシャルグループ,銀行業,0.9328486544817391,0.908689718444103,2795.0,2771.0,1054.0,1053.0,-1.693783699486152,1.693783699486152,-5.46,300,800,1.34,265046.0,12621.0,0.69,21,13,8,61.9
144,5401,日本製鉄,鉄鋼,8377,ほくほくフィナンシャルグループ,銀行業,0.9560588162921916,0.9095120568012204,1519.0,1525.5,1054.0,1053.0,-1.692637733386762,1.692637733386762,-6.72,600,900,3.54,107736.0,8287.0,0.52,13,7,6,53.85
