DATE,OPEN,HIGH,LOW,CLOSE,Volume
2019-04-12,21782.35,21878.78,21698.71,21870.56,634651
2019-04-11,21662.65,21721.42,21627.87,21711.38,630647
2019-04-10,21579.68,21687.57,21571.67,21687.57,605020
2019-04-09,21750.29,21811.88,21698.42,21802.59,559515
2019-04-08,21900.55,21900.55,21740.53,21761.65,563262
2019-04-05,21743.14,21839.18,21731.34,21807.5,602885
2019-04-04,21724.69,21787.6,21662.9,21724.95,596937
2019-04-03,21563.64,21722.72,21489.95,21713.21,705683
2019-04-02,21744.64,21744.64,21490.56,21505.31,732237
2019-04-01,21500.89,21682.94,21471.12,21509.03,798205
2019-03-29,21228.51,21267.25,21149.42,21205.81,635384
2019-03-28,21191.32,21191.32,20974.19,21033.76,733104
2019-03-27,21353.61,21388.59,21242.52,21378.73,782563
2019-03-26,21174.34,21460.99,21174.34,21428.39,1044266
2019-03-25,21267.41,21275.43,20911.57,20977.11,801447
2019-03-22,21713.26,21713.26,21542.03,21627.34,813482
2019-03-20,21548.65,21614.17,21499.16,21608.92,673199
2019-03-19,21558.43,21585.55,21425.79,21566.85,617704
2019-03-18,21576.36,21612.67,21500.32,21584.5,568962
2019-03-15,21376.73,21521.68,21374.85,21450.85,857903
2019-03-14,21474.58,21522.75,21287.02,21287.02,660945
2019-03-13,21425.77,21474.17,21198.99,21290.24,681768
2019-03-12,21361.61,21568.48,21348.81,21503.69,698572
2019-03-11,21062.75,21145.94,20938,21125.09,573248
2019-03-08,21339.17,21359.32,20993.07,21025.56,1028993
2019-03-07,21456.88,21472.16,21402.12,21456.01,774962
2019-03-06,21659.03,21684.6,21550.45,21596.81,588585
2019-03-05,21712.8,21798.38,21659.04,21726.28,610390
2019-03-04,21812.81,21860.39,21740.92,21822.04,609228
2019-03-01,21490.02,21641.58,21490.02,21602.69,644742
2019-02-28,21536.55,21536.55,21364.09,21385.16,737236
2019-02-27,21504.61,21578.81,21492.65,21556.51,698288
2019-02-26,21556.02,21610.88,21405.84,21449.39,580573
2019-02-25,21567.66,21590.03,21505.07,21528.23,533643
2019-02-22,21376.36,21451.23,21348.67,21425.51,539892
2019-02-21,21422.31,21553.35,21318.74,21464.23,704961
2019-02-20,21346.04,21494.85,21315.39,21431.49,615074
2019-02-19,21256.58,21344.17,21217.16,21302.65,552649
2019-02-18,21217.32,21306.36,21189.97,21281.85,636945
2019-02-15,21051.51,21051.51,20853.33,20900.63,676144
2019-02-14,21147.89,21235.62,21102.16,21139.71,665203
2019-02-13,21029.93,21213.74,20992.88,21144.48,810274
2019-02-12,20442.55,20885.88,20428.57,20864.21,866909
2019-02-08,20510.5,20562.39,20315.31,20333.17,888594
2019-02-07,20812.22,20844.77,20665.51,20751.28,727743
2019-02-06,20928.87,20971.66,20860.99,20874.06,710048
2019-02-05,20960.47,20981.23,20823.18,20844.45,674934
2019-02-04,20831.9,20922.58,20823.68,20883.77,686876
2019-02-01,20797.03,20929.63,20741.98,20788.39,847456
2019-01-31,20832.91,20869.42,20682.91,20773.49,779598
2019-01-30,20701.62,20706.27,20527.53,20556.54,743381
2019-01-29,20555.44,20673.66,20406.22,20664.64,650252
2019-01-28,20746.29,20759.48,20624.55,20649,585537
2019-01-25,20598.64,20844.31,20598.64,20773.56,705062
2019-01-24,20506.24,20620.72,20467.59,20574.63,633319
2019-01-23,20453.44,20686.29,20438.22,20593.72,612830
2019-01-22,20770.06,20805.93,20558.3,20622.91,588601
2019-01-21,20848.38,20892.68,20678.26,20719.33,630648
2019-01-18,20472.81,20682.12,20454.13,20666.07,666627
2019-01-17,20544.23,20571.75,20342.46,20402.27,656176
2019-01-16,20575.72,20580.25,20323.32,20442.75,716842
2019-01-15,20264.82,20571.28,20204.43,20555.29,806943
2019-01-11,20296.45,20389.89,20294.74,20359.7,801208
2019-01-10,20270.88,20345.92,20101.93,20163.8,759632
2019-01-09,20366.3,20494.35,20331.2,20427.06,750920
2019-01-08,20224.67,20347.92,20106.36,20204.04,891347
2019-01-07,19944.61,20266.22,19920.8,20038.97,840255
2019-01-04,19655.13,19692.58,19241.37,19561.96,943710
2018-12-28,19957.88,20084.38,19900.04,20014.77,727891
2018-12-27,19706.19,20211.57,19701.76,20077.62,959028
2018-12-26,19302.59,19530.35,18948.58,19327.06,824458
2018-12-25,19785.43,19785.43,19117.96,19155.74,978984
2018-12-21,20310.5,20334.73,20006.67,20166.19,1202211
2018-12-20,20779.93,20841.34,20282.93,20392.58,993346
2018-12-19,21107.17,21168.62,20880.73,20987.92,838042
2018-12-18,21275.51,21330.36,21101.44,21115.45,830374
2018-12-17,21391.73,21563.27,21363.67,21506.88,654126
2018-12-14,21638.96,21751.31,21353.94,21374.83,1059811
2018-12-13,21755.13,21871.34,21675.66,21816.19,816707
2018-12-12,21348.4,21631.47,21320.72,21602.75,923725
2018-12-11,21273.04,21279.02,21062.31,21148.02,902487
2018-12-10,21319.47,21365.78,21169.96,21219.5,813672
2018-12-07,21643.75,21734.94,21506.45,21678.68,804619
2018-12-06,21766.5,21805.02,21307.72,21501.62,902953
2018-12-05,21755.17,21979.18,21708.82,21919.33,863013
2018-12-04,22533.97,22576.62,22033.41,22036.05,924042
2018-12-03,22629.39,22698.79,22550.29,22574.76,726862
2018-11-30,22274.97,22362.2,22231.96,22351.06,1072746
2018-11-29,22360.98,22437.95,22241.17,22262.6,713877
2018-11-28,22036.72,22216.98,22032.72,22177.02,799913
2018-11-27,21967.98,22006.83,21816.05,21952.4,763278
2018-11-26,21647.69,21838.1,21622.6,21812,803882
2018-11-22,21582.47,21684.64,21484.98,21646.55,678575
2018-11-21,21286.81,21555.61,21243.38,21507.54,796623
2018-11-20,21582.69,21687.12,21526.95,21583.12,851489
2018-11-19,21679.03,21852.92,21665.29,21821.16,742798
2018-11-16,21804.9,21873.74,21663.99,21680.34,772032
2018-11-15,21670.35,21818.73,21613.53,21803.62,838957
