DATE,OPEN_8316,CLOSE_8316,OPEN_8385,CLOSE_8385,saya_divide,saya_divide_mean,saya_divide_std,saya_divide_sigma,deviation_rate(%),CORR_3M,COINT_3M,CORR_1Y,COINT_1Y
2019-06-12,3802.0,3807.0,582.0,579.0,6.575129533678757,6.56286802317657,0.11571027641869852,0.10596734258777893,0.19,0.8985668785205424,0.3440234634781575,0.8943865160484047,0.3215962955190105
2019-06-11,3794.0,3827.0,577.0,584.0,6.553082191780822,6.561834089941691,0.11594231423249006,-0.07548493592528284,-0.13,0.8904763469903302,0.20121922771395528,0.8942299720548587,0.4183522468541466
2019-06-10,3792.0,3783.0,576.0,573.0,6.602094240837697,6.56093961678604,0.11626471085524792,0.3539734778413947,0.62,0.8820607110761114,0.18184023734502608,0.8940324026880792,0.4097956835107131
2019-06-07,3782.0,3792.0,567.0,576.0,6.583333333333333,6.560260428448359,0.11617106124984161,0.19861146688978448,0.35,0.8727751794788549,0.6071698611967016,0.8939979459964388,0.4024779517706753
2019-06-06,3785.0,3785.0,564.0,566.0,6.687279151943463,6.560509184667264,0.11624015495364769,1.0905867023899811,1.9,0.8560244751339878,0.4511276728838298,0.8944065786975871,0.35922105810707844
2019-06-05,3789.0,3800.0,566.0,567.0,6.701940035273369,6.5578361117062585,0.11559756264783674,1.2466000170446234,2.15,0.8463751088492555,0.29778733695944937,0.8946121555367426,0.369293660780298
2019-06-04,3710.0,3739.0,557.0,556.0,6.724820143884892,6.557851911235947,0.1156173365495764,1.444145295436292,2.48,0.8327443744813001,0.2675490462778195,0.8943228586056002,0.3949877217443439
2019-06-03,3714.0,3740.0,551.0,556.0,6.726618705035971,6.556358237488077,0.1141651212619757,1.4913527499979289,2.53,0.8161740204462894,0.2810333903237969,0.8943409751331138,0.37567782168379976
2019-05-31,3802.0,3783.0,565.0,559.0,6.767441860465116,6.555246202492958,0.11290045939592844,1.8794933085968513,3.14,0.8005759724379384,0.3087209623121477,0.8941462012804144,0.3568790555898146
2019-05-30,3806.0,3834.0,558.0,571.0,6.714535901926445,6.552778480737228,0.11022644055591654,1.4675010857051112,2.41,0.7938458990180477,0.2765192903284747,0.8940731865483991,0.35146040172815435
2019-05-29,3812.0,3819.0,560.0,563.0,6.783303730017762,6.551322092702696,0.10879183767232331,2.132344137928668,3.42,0.7846488018797109,0.3423896574344035,0.8937580267953891,0.36024275879686674
